epoch,total_loss,box_loss,score_loss,cls_loss,mask_loss
1,5.77545,0.00372,1.22022,0.70549,1.91743
2,1.87793,0.0013,0.95079,0.62299,0.14948
3,1.62841,0.0013,0.74503,0.62386,0.12715
4,1.48545,0.00132,0.65696,0.58721,0.118
5,1.41414,0.00123,0.61763,0.54685,0.12237
6,1.20075,0.00141,0.59874,0.35295,0.1217
7,0.8747,0.0013,0.51603,0.11359,0.11994
8,0.88647,0.00124,0.50225,0.14939,0.11494
9,0.87285,0.0011,0.50052,0.1318,0.11807
10,0.96601,0.00096,0.5433,0.18541,0.11674
11,0.77392,0.00077,0.48085,0.06907,0.11046
12,0.74896,0.00068,0.49376,0.04112,0.10568
13,0.75386,0.00063,0.47473,0.06767,0.10446
14,0.72461,0.0006,0.46852,0.04804,0.10283
15,0.74047,0.00056,0.48285,0.05009,0.10265
16,0.70362,0.0006,0.46915,0.03388,0.09909
17,0.69609,0.00055,0.4581,0.03125,0.10227
18,0.69319,0.00053,0.45678,0.02654,0.10388
19,0.69262,0.00053,0.45702,0.03296,0.10025
20,0.67003,0.00054,0.44095,0.02968,0.09863
21,0.67481,0.00054,0.44029,0.03736,0.09751
22,0.6414,0.0005,0.42952,0.02219,0.09384
23,0.67298,0.00053,0.42879,0.05512,0.09348
24,0.6385,0.00052,0.42537,0.02394,0.09357
25,0.61738,0.00052,0.42218,0.02123,0.08595
